"","Broadleaved woodland","Coniferous Woodland","Arable and Horticulture","Improved Grassland","Neutral Grassland","Calcareous Grassland","Acid grassland","Fen, Marsh and Swamp","Freshwater","Mountain_Heath_Bog","UrbanSuburban","MEM1","MEM2","MEM3","MEM4","MEM5","MEM6","MEM7","MEM8","MEM9","MEM10"
"SE03",5.37,0.53,0.2,46,0,1.66,17.18,0,1.27,22.83,5.14,-0.314700720242002,-5.55053510327207e-05,-0.153791716076094,-0.350579420230645,0.977066338830079,0.768788785308999,-0.121761324856429,-0.914105583580982,-0.688775632150701,-0.840835909254399
"SE04",6.7,1.74,2.02,61.47,0.02,2.45,6.93,0.1,0.2,6.45,12.09,-0.306990052955158,-5.41994269628914e-05,-0.140644871428206,-0.295907338389994,0.824845675385977,0.649159169424574,-0.10271149904635,-0.771805439369162,-0.58158522646086,-0.711095245249426
"SE05",5.47,1.55,0.77,42.54,0,7.84,2.32,0,0.8,38.02,0.89,-0.29314903307997,-5.12949950839716e-05,-0.123911017598885,-0.239279661912405,0.666915944703716,0.524950909397995,-0.0829754566670895,-0.624063598181917,-0.47027938154664,-0.575752724086508
"SE06",1.1,0,0.22,16.98,0,16.95,6.68,0.01,1.45,56.23,0.42,-0.268304713833606,-4.61073213381316e-05,-0.102725111956844,-0.1810290531381,0.504350070172518,0.397029585976102,-0.0626921058379039,-0.471924698707627,-0.35564679107803,-0.435865742673178
"SE07",0.66,0.06,0.04,4.14,0.03,9.48,16.15,0,1.06,68.41,0.03,-0.223710706051895,-3.74134640755211e-05,-0.0759920831498896,-0.121497897008358,0.338252998297647,0.266287070253243,-0.0420042722820934,-0.316464963088749,-0.238500093132136,-0.292527659253841
"SE08",4.85,1.07,1.12,37.28,0.41,11.16,20.51,0,0,23.17,0.48,-0.143668260846176,-2.31640098214738e-05,-0.0423302605501118,-0.0610362930770086,0.169754200297878,0.133635314946341,-0.0210576949123816,-0.158784594790395,-0.119670117687577,-0.146859259288606
"SE10",5.55,2.47,0.62,28.73,0.01,1.31,27.72,0,1.78,28.89,3.12,-0.322719711304418,-5.34676687820847e-05,-0.184524383745248,-1.31492871133687,0.5570067275631,-1.06919074964982,-0.926372199716023,0.843029524791236,1.22364137485813,-0.973586923442988
"SE11",21.45,0.02,4.22,43.11,0.08,0.21,0.2,0,0.16,0.82,29.87,-0.321387666877089,-5.55325781285937e-05,-0.177212584277169,-1.1899537950116,0.505508599926845,-0.969830271096582,-0.840489466531203,0.765178531710389,1.11060741741194,-0.88576507539581
"SE12",13.86,0.04,7.62,47.3,0.21,0.01,0.59,0.18,0.37,0.76,29.09,-0.318995383368648,-5.63135246153344e-05,-0.168204623621017,-1.05777163033152,0.45047547088619,-0.863760827355018,-0.7487275000147,0.681895932591755,0.989693362811016,-0.790980143508071
"SE13",12.46,0.26,1.62,30.74,0.11,0,0.98,0.01,0.25,1.05,52.6,-0.314700195956571,-5.59945202114375e-05,-0.157034639736461,-0.919157288413565,0.392280603281654,-0.751720416653724,-0.651731124925237,0.593769664151438,0.861754637521533,-0.689971582576356
"SE14",11,0.1,3.26,52.31,0.06,0.03,3.73,0,0.74,16.96,11.96,-0.306989557824637,-5.45002813842477e-05,-0.143125054446459,-0.774924057753123,0.331318921272278,-0.634488996863593,-0.550182309607856,0.50142218611374,0.727696842622799,-0.583527787024517
"SE15",5.27,2.41,0.74,39.62,0.05,2.02,1.1,0.15,1.91,46.5,0.43,-0.293148581788284,-5.14784883704735e-05,-0.125756732167013,-0.625918690391061,0.268004339157791,-0.512883072223719,-0.444795385495734,0.405506097973463,0.588469362948848,-0.472479954577536
"SE16",5.58,0.98,0.9,33.03,0.03,9.26,2.43,0,1.09,45.99,0.83,-0.268304329637416,-4.62167398062826e-05,-0.104031826234994,-0.47301644624046,0.202766958616924,-0.387750020316416,-0.336312034398693,0.306699538597421,0.445058660092481,-0.357695610359134
