Disp,comp_str,R_max,EnvNoiseSigma,Repeat,RunID,RunName,S_global,Occ_thresh,comp_conn
1e-5,0.38,14,0.0025118864315095794,A,259,TrialLatin,50,0.1,0.01
3.9810717055349695e-5,0.38,14,0.0025118864315095794,A,260,TrialLatin,50,0.1,0.01
1.5848931924611142e-4,0.38,14,0.0025118864315095794,A,261,TrialLatin,50,0.1,0.01
6.30957344480193e-4,0.38,14,0.0025118864315095794,A,262,TrialLatin,50,0.1,0.01
0.0025118864315095794,0.38,14,0.0025118864315095794,A,263,TrialLatin,50,0.1,0.01
0.01,0.38,14,0.0025118864315095794,A,264,TrialLatin,50,0.1,0.01
1e-5,0.56,14,0.0025118864315095794,A,265,TrialLatin,50,0.1,0.01
3.9810717055349695e-5,0.56,14,0.0025118864315095794,A,266,TrialLatin,50,0.1,0.01
1.5848931924611142e-4,0.56,14,0.0025118864315095794,A,267,TrialLatin,50,0.1,0.01
6.30957344480193e-4,0.56,14,0.0025118864315095794,A,268,TrialLatin,50,0.1,0.01
0.0025118864315095794,0.56,14,0.0025118864315095794,A,269,TrialLatin,50,0.1,0.01
0.01,0.56,14,0.0025118864315095794,A,270,TrialLatin,50,0.1,0.01
1e-5,0.74,14,0.0025118864315095794,A,271,TrialLatin,50,0.1,0.01
3.9810717055349695e-5,0.74,14,0.0025118864315095794,A,272,TrialLatin,50,0.1,0.01
1.5848931924611142e-4,0.74,14,0.0025118864315095794,A,273,TrialLatin,50,0.1,0.01
6.30957344480193e-4,0.74,14,0.0025118864315095794,A,274,TrialLatin,50,0.1,0.01
0.0025118864315095794,0.74,14,0.0025118864315095794,A,275,TrialLatin,50,0.1,0.01
0.01,0.74,14,0.0025118864315095794,A,276,TrialLatin,50,0.1,0.01
1e-5,0.9200000000000002,14,0.0025118864315095794,A,277,TrialLatin,50,0.1,0.01
3.9810717055349695e-5,0.9200000000000002,14,0.0025118864315095794,A,278,TrialLatin,50,0.1,0.01
1.5848931924611142e-4,0.9200000000000002,14,0.0025118864315095794,A,279,TrialLatin,50,0.1,0.01
6.30957344480193e-4,0.9200000000000002,14,0.0025118864315095794,A,280,TrialLatin,50,0.1,0.01
0.0025118864315095794,0.9200000000000002,14,0.0025118864315095794,A,281,TrialLatin,50,0.1,0.01
0.01,0.9200000000000002,14,0.0025118864315095794,A,282,TrialLatin,50,0.1,0.01
1e-5,1.1,14,0.0025118864315095794,A,283,TrialLatin,50,0.1,0.01
3.9810717055349695e-5,1.1,14,0.0025118864315095794,A,284,TrialLatin,50,0.1,0.01
1.5848931924611142e-4,1.1,14,0.0025118864315095794,A,285,TrialLatin,50,0.1,0.01
6.30957344480193e-4,1.1,14,0.0025118864315095794,A,286,TrialLatin,50,0.1,0.01
0.0025118864315095794,1.1,14,0.0025118864315095794,A,287,TrialLatin,50,0.1,0.01
0.01,1.1,14,0.0025118864315095794,A,288,TrialLatin,50,0.1,0.01
1e-5,0.2,23,0.0025118864315095794,A,289,TrialLatin,50,0.1,0.01
3.9810717055349695e-5,0.2,23,0.0025118864315095794,A,290,TrialLatin,50,0.1,0.01
1.5848931924611142e-4,0.2,23,0.0025118864315095794,A,291,TrialLatin,50,0.1,0.01
6.30957344480193e-4,0.2,23,0.0025118864315095794,A,292,TrialLatin,50,0.1,0.01
0.0025118864315095794,0.2,23,0.0025118864315095794,A,293,TrialLatin,50,0.1,0.01
0.01,0.2,23,0.0025118864315095794,A,294,TrialLatin,50,0.1,0.01
1e-5,0.38,23,0.0025118864315095794,A,295,TrialLatin,50,0.1,0.01
3.9810717055349695e-5,0.38,23,0.0025118864315095794,A,296,TrialLatin,50,0.1,0.01
1.5848931924611142e-4,0.38,23,0.0025118864315095794,A,297,TrialLatin,50,0.1,0.01
6.30957344480193e-4,0.38,23,0.0025118864315095794,A,298,TrialLatin,50,0.1,0.01
0.0025118864315095794,0.38,23,0.0025118864315095794,A,299,TrialLatin,50,0.1,0.01
0.01,0.38,23,0.0025118864315095794,A,300,TrialLatin,50,0.1,0.01
1e-5,0.56,23,0.0025118864315095794,A,301,TrialLatin,50,0.1,0.01
3.9810717055349695e-5,0.56,23,0.0025118864315095794,A,302,TrialLatin,50,0.1,0.01
1.5848931924611142e-4,0.56,23,0.0025118864315095794,A,303,TrialLatin,50,0.1,0.01
6.30957344480193e-4,0.56,23,0.0025118864315095794,A,304,TrialLatin,50,0.1,0.01
0.0025118864315095794,0.56,23,0.0025118864315095794,A,305,TrialLatin,50,0.1,0.01
0.01,0.56,23,0.0025118864315095794,A,306,TrialLatin,50,0.1,0.01
