Disp,comp_str,R_max,EnvNoiseSigma,FalseAbsenceFrac,Repeat,RunID,RunName,S_global,Occ_thresh,comp_conn
0.001,1.1,20,0.01,0.2,A,288,TrialObsQual,50,0.1,0.01
1e-5,0.3,40,0.01,0.2,A,289,TrialObsQual,50,0.1,0.01
1e-4,0.3,40,0.01,0.2,A,290,TrialObsQual,50,0.1,0.01
0.001,0.3,40,0.01,0.2,A,291,TrialObsQual,50,0.1,0.01
1e-5,0.8,40,0.01,0.2,A,292,TrialObsQual,50,0.1,0.01
1e-4,0.8,40,0.01,0.2,A,293,TrialObsQual,50,0.1,0.01
0.001,0.8,40,0.01,0.2,A,294,TrialObsQual,50,0.1,0.01
1e-5,1.1,40,0.01,0.2,A,295,TrialObsQual,50,0.1,0.01
1e-4,1.1,40,0.01,0.2,A,296,TrialObsQual,50,0.1,0.01
0.001,1.1,40,0.01,0.2,A,297,TrialObsQual,50,0.1,0.01
1e-5,0.3,5,0.1,0.2,A,298,TrialObsQual,50,0.1,0.01
1e-4,0.3,5,0.1,0.2,A,299,TrialObsQual,50,0.1,0.01
0.001,0.3,5,0.1,0.2,A,300,TrialObsQual,50,0.1,0.01
1e-5,0.8,5,0.1,0.2,A,301,TrialObsQual,50,0.1,0.01
1e-4,0.8,5,0.1,0.2,A,302,TrialObsQual,50,0.1,0.01
0.001,0.8,5,0.1,0.2,A,303,TrialObsQual,50,0.1,0.01
1e-5,1.1,5,0.1,0.2,A,304,TrialObsQual,50,0.1,0.01
1e-4,1.1,5,0.1,0.2,A,305,TrialObsQual,50,0.1,0.01
0.001,1.1,5,0.1,0.2,A,306,TrialObsQual,50,0.1,0.01
1e-5,0.3,20,0.1,0.2,A,307,TrialObsQual,50,0.1,0.01
1e-4,0.3,20,0.1,0.2,A,308,TrialObsQual,50,0.1,0.01
0.001,0.3,20,0.1,0.2,A,309,TrialObsQual,50,0.1,0.01
1e-5,0.8,20,0.1,0.2,A,310,TrialObsQual,50,0.1,0.01
1e-4,0.8,20,0.1,0.2,A,311,TrialObsQual,50,0.1,0.01
0.001,0.8,20,0.1,0.2,A,312,TrialObsQual,50,0.1,0.01
1e-5,1.1,20,0.1,0.2,A,313,TrialObsQual,50,0.1,0.01
1e-4,1.1,20,0.1,0.2,A,314,TrialObsQual,50,0.1,0.01
0.001,1.1,20,0.1,0.2,A,315,TrialObsQual,50,0.1,0.01
1e-5,0.3,40,0.1,0.2,A,316,TrialObsQual,50,0.1,0.01
1e-4,0.3,40,0.1,0.2,A,317,TrialObsQual,50,0.1,0.01
0.001,0.3,40,0.1,0.2,A,318,TrialObsQual,50,0.1,0.01
1e-5,0.8,40,0.1,0.2,A,319,TrialObsQual,50,0.1,0.01
1e-4,0.8,40,0.1,0.2,A,320,TrialObsQual,50,0.1,0.01
0.001,0.8,40,0.1,0.2,A,321,TrialObsQual,50,0.1,0.01
1e-5,1.1,40,0.1,0.2,A,322,TrialObsQual,50,0.1,0.01
1e-4,1.1,40,0.1,0.2,A,323,TrialObsQual,50,0.1,0.01
0.001,1.1,40,0.1,0.2,A,324,TrialObsQual,50,0.1,0.01
1e-5,0.3,5,0.001,0,B,325,TrialObsQual,50,0.1,0.01
1e-4,0.3,5,0.001,0,B,326,TrialObsQual,50,0.1,0.01
0.001,0.3,5,0.001,0,B,327,TrialObsQual,50,0.1,0.01
1e-5,0.8,5,0.001,0,B,328,TrialObsQual,50,0.1,0.01
1e-4,0.8,5,0.001,0,B,329,TrialObsQual,50,0.1,0.01
